"Nome","Simbolo","% Peso","Prezzo","Var. %","Azioni"
"iShares MSCI USA Value Factor ETF","","22,18%","","-%","113.900"
"iShares MSCI Emerging Markets Asia ETF","EEMA","21,04%","111,88","-3,39%","169.590"
"iShares MSCI USA Quality Factor ETF","","19,14%","","-%","85.256"
"iShares MSCI Intl Momentum Factor ETF","","18,76%","","-%","333.222"
"iShares Edge MSCI Intl Value Factor ETF","","18,35%","","-%","407.635"
"Blackrock Treasury Trust Instl 62","","0,53%","","-%","498.219"
