"Nome","Simbolo","% Peso","Prezzo","Var. %","Azioni"
"iShares MSCI USA Momentum Factor ETF","","50,35%","","-%","209.700"
"iShares MSCI USA Quality Factor ETF","","49,05%","","-%","293.026"
"Blackrock Treasury Trust Instl 62","","0,60%","","-%","758.477"
