"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"iShares Core S&P 500 ETF","","34,49%","0,00","","-%","1.681.270"
"iShares Core Universal USD Bond ETF","IUSB","32,92%","0,00","46,00","0,09%","26.137.478"
"iShares Core MSCI Intl Dev Mkts ETF","","17,06%","0,00","","-%","6.952.311"
"iShares Core MSCI Emerging Markets ETF","","6,63%","0,00","","-%","3.028.531"
"iShares Core International Aggt Bd ETF","","5,88%","0,00","","-%","4.277.361"
"iShares Core S&P Mid-Cap ETF","IJH","1,96%","0,00","76,42","0,43%","940.840"
"iShares Core S&P Small-Cap ETF","IJR","0,97%","0,00","146,81","0,23%","241.069"
