"Nome","Simbolo","% Peso","Prezzo","Var. %","Azioni"
"iShares Core Universal USD Bond ETF","IUSB","58,47%","46,00","0,09%","10.301.785"
"iShares Core S&P 500 ETF","","17,50%","","-%","189.330"
"iShares Core International Aggt Bd ETF","","10,44%","","-%","1.685.872"
"iShares Core MSCI Intl Dev Mkts ETF","","8,66%","","-%","782.907"
"iShares Core MSCI Emerging Markets ETF","","3,36%","","-%","341.046"
"iShares Core S&P Mid-Cap ETF","IJH","1,00%","76,42","0,43%","105.949"
"iShares Core S&P Small-Cap ETF","IJR","0,49%","146,81","0,23%","27.196"
