"Nome","Simbolo","% Peso","Rialzo","Prezzo","Var. %","Azioni"
"iShares Core S&P 500 ETF","","45,54%","0,00","","-%","1.934.495"
"iShares Core MSCI Intl Dev Mkts ETF","","22,53%","0,00","","-%","7.999.435"
"iShares Core Universal USD Bond ETF","IUSB","16,30%","0,00","46,00","0,09%","11.277.817"
"iShares Core MSCI Emerging Markets ETF","","8,75%","0,00","","-%","3.484.673"
"iShares Core International Aggt Bd ETF","","2,91%","0,00","","-%","1.845.598"
"iShares Core S&P Mid-Cap ETF","IJH","2,59%","0,00","76,42","0,43%","1.082.545"
"iShares Core S&P Small-Cap ETF","IJR","1,28%","0,00","146,81","0,23%","277.375"
"E-mini S&P 500 Future Sept 26","","0,00%","0,00","","-%","2"
